D4 C3 B2 A1; pcap
A1 B2 C3 D4; pcap
4D 3C B2 A1; pcap
A1 B2 3C 4D; pcap
0A 0D 0D 0A; pcapng
ED AB EE DB; rpm
53 51 4C 69 74 65 20 66; sqlitedb, sqlite, db
6F 72 6D 61 74 20 33 00; sqlitedb, sqlite, db
53 50 30 31; bin
00; PIC, PIF, SEA, YTR
00 00 00 00 00 00 00 00; PDB
BE BA FE CA; DBA
0 1 42 44; TDA
54 44 46 24; TDF
54 44 45 46; TDEF
0 0 1 0; ico
69 63 6e 73; icns
66 74 79 70 33 67; 3gp, 3g2
1F 9D; z, tar.z
1F A0; z, tar.z
42 41 43 4B 4D 49 4B 45; bac
44 49 53 4B; bac
49 4E 44 58; idx
42 5A 68; bz2
47 49 46 38 37 61; gif
47 49 46 38 39 61; gif
49 49 2A 0; tif, tiff
4D 4D 00 2A; tif, tiff
49 49 2A 0 10 0 0 0; cr2
43 52; cr2
80 2A 5F D7; cin
4E 55 52 55 49 4D 47; nui, nup
4E 55 52 55 50 41 4C; nui, nup
53 44 50 58; dpx
58 50 44 53; dpx
76 2F 31 1; exr
42 50 47 FB; bpg
FF D8 FF DB; jpg, jpeg
FF D8 FF E0 0 10 4A 46; jpg, jpeg
49 46 0 1; jpg, jpeg
FF D8 FF EE; jpg, jpeg
FF D8 FF E1 ?? ?? 45 78; jpg, jpeg
69 66 0 0; jpg, jpeg
0 0 0 C 6A 50 20 20 D A 87 A; jp2, j2k, jpf, jpm, jpg2, j2c, jpc, jpx, mj2
FF 4F FF 51; jp2, j2k, jpf, jpm, jpg2, j2c, jpc, jpx, mj2
46 4F 52 4D ?? ?? ?? ??; ilbm, lbm, ibm, iff
49 4C 42 4D; ilbm, lbm, ibm, iff
46 4F 52 4D ?? ?? ?? ??; 8svx, 8sv, svx, snd, iff
38 53 56 58; 8svx, 8sv, svx, snd, iff
46 4F 52 4D ?? ?? ?? ??; acbm, anbm, iff, anim, faxx, fax, ftxt, smus, smu, mus, cmus, yuvn, yuv, aiff, aif, aifc, snd, 
41 43 42 4D; acbm, iff
41 4E 42 4D; anbm, iff
41 4E 49 4D; anim, iff
46 41 58 58; faxx, fax, iff
46 54 58 54; ftxt, iff
53 4D 55 53; smus, smu, mus, iff
43 4D 55 53; cmus, mus, iff
59 55 56 4E; yuvn, yuv, iff
46 41 4E 54; iff
41 49 46 46; aiff, aif, aifc, snd, iff
4C 5A 49 50; lz
4D 5A; exe, scr, sys, dll, fon, cpl, iec, ime, rs, tsp, mz
5A 4D; exe
50 4B 3 4; zip, aar, apk, docx, epub, ipa, jar, kmz, maff, msix, odp, ods, odt, pk3, pk4, pptx, usdz, vsdx, xlsx, xpi
